source_fullname,source_shortname,base_url,pages_url,num_pages,save_locally,anti_robot,load_more_button,alt_source_domain
Interaksyon,interaksyon.philstar.com,https://interaksyon.philstar.com/,https://interaksyon.philstar.com/,1,False,True,False,
Journal News,journalnews.com.ph,https://journalnews.com.ph/,https://journalnews.com.ph/,1,False,True,False,
Kami,kami.com.ph,https://kami.com.ph/,https://kami.com.ph/,1,False,True,False,
Malaya Business Insight,malaya.com.ph,https://malaya.com.ph/,https://malaya.com.ph/,1,False,True,False,
Manila Bulletin,mb.com.ph,https://mb.com.ph/,https://mb.com.ph/,1,False,True,False,
Manila Journal,themanilajournal.com,https://themanilajournal.com/,https://themanilajournal.com/,1,False,True,False,
Manila News,manilanews.ph,https://manilanews.ph/,https://manilanews.ph/,1,False,True,False,
Manila Standard,manilastandard.net,https://manilastandard.net/,https://manilastandard.net/,1,False,True,False,
Manila Times,www.manilatimes.net,https://www.manilatimes.net/,https://www.manilatimes.net/,1,False,True,False,
Minda News,mindanews.com,https://mindanews.com/,https://mindanews.com/,1,False,True,False,
Mindanao Daily News,mindanaodailynews.com,https://mindanaodailynews.com/,https://mindanaodailynews.com/,1,False,True,False,
NET25,www.net25.com,https://www.net25.com/,https://www.net25.com/,1,False,True,False,
News5,news.tv5.com.ph,https://news.tv5.com.ph/,https://news.tv5.com.ph/,1,False,True,False,
NewsKo,newsko.com.ph,https://newsko.com.ph/,https://newsko.com.ph/,1,False,True,False,
NewsLine,newsline.ph,https://newsline.ph/,https://newsline.ph/,1,False,True,False,
Newsbreak,www.rappler.com,https://www.rappler.com/,https://www.rappler.com/,1,False,True,False,
Newspapers,newspapers.ph,https://newspapers.ph/,https://newspapers.ph/,1,False,True,False,
PTV News,ptvnews.ph,https://ptvnews.ph/,https://ptvnews.ph/,1,False,True,False,
Palawan Daily News,palawandailynews.com,https://palawandailynews.com/,https://palawandailynews.com/,1,False,True,False,
Palawan News,palawan-news.com,https://palawan-news.com/,https://palawan-news.com/,1,False,True,False,
Philippine Defense News,phildefnews.blogspot.com,https://phildefnews.blogspot.com/,https://phildefnews.blogspot.com/,1,False,True,False,
Philippine News,philnews.ph,https://philnews.ph/,https://philnews.ph/,1,False,True,False,
Philippine News Agency,www.pna.gov.ph,https://www.pna.gov.ph/,https://www.pna.gov.ph/,1,False,True,False,
Philippine Star,www.philstar.com,https://www.philstar.com/,https://www.philstar.com/,1,False,True,False,
Pinoy Weekly,pinoyweekly.org,https://pinoyweekly.org/,https://pinoyweekly.org/,1,False,True,False,
Pitz Defense Analysis,www.pitzdefanalysis.net,https://www.pitzdefanalysis.net/,https://www.pitzdefanalysis.net/,1,False,True,False,
Politico.ph,politico.ph,https://politico.ph/,https://politico.ph/,1,False,True,False,
Politiko,politics.com.ph,https://politics.com.ph/,https://politics.com.ph/,1,False,True,False,
Punto! Central Luzon,punto.com.ph,https://punto.com.ph/,https://punto.com.ph/,1,False,True,False,
RMN News,rmn.ph,https://rmn.ph/,https://rmn.ph/,1,False,True,False,
Radyo Bandera,radyobandera.com,https://radyobandera.com/,https://radyobandera.com/,1,False,True,False,
Radyo Natin Nationwide,radyonatin.com,https://radyonatin.com/,https://radyonatin.com/,1,False,True,False,
Radyo Pilipinas,radyopilipinas.ph,https://radyopilipinas.ph/,https://radyopilipinas.ph/,1,False,True,False,
Remate,remate.ph,https://remate.ph/,https://remate.ph/,1,False,True,False,
Romblon News Network,romblonnews.net,https://romblonnews.net/,https://romblonnews.net/,1,False,True,False,
SunStar,www.sunstar.com.ph,https://www.sunstar.com.ph/,https://www.sunstar.com.ph/,1,False,True,False,
Sunday Punch,punch.dagupan.com,https://punch.dagupan.com/,https://punch.dagupan.com/,1,False,True,False,
Tempo,tempo.com.ph,https://tempo.com.ph/,https://tempo.com.ph/,1,False,True,False,
The Bohol Chronicle,www.boholchronicle.com.ph,https://www.boholchronicle.com.ph/,https://www.boholchronicle.com.ph/,1,False,True,False,
The Diarist,www.thediarist.ph,https://www.thediarist.ph/,https://www.thediarist.ph/,1,False,True,False,
The Financial District,www.thefinancialdistrict.com.ph,https://www.thefinancialdistrict.com.ph/,https://www.thefinancialdistrict.com.ph/,1,False,True,False,
The Phil Biz News,thephilbiznews.com,https://thephilbiznews.com/,https://thephilbiznews.com/,1,False,True,False,
The Philippine Post,thephilippinepost.com,https://thephilippinepost.com/,https://thephilippinepost.com/,1,False,True,False,
The Visayas Journal,thevisayasjournal.com,https://thevisayasjournal.com/,https://thevisayasjournal.com/,1,False,True,False,
iOrbit News,iorbitnews.com,https://iorbitnews.com/,https://iorbitnews.com/,1,False,True,False,
Abante News,www.abante.com.ph,https://www.abante.com.ph/,https://www.abante.com.ph/,1,False,True,False,
Abante News,tonite.abante.com.ph,https://tonite.abante.com.ph/,https://tonite.abante.com.ph/,1,False,True,False,
Agila ng Bayan,agilangbayan.com,https://agilangbayan.com/,https://agilangbayan.com/,1,False,True,False,
Asul TV,www.asul.tv,https://www.asul.tv/,https://www.asul.tv/,1,False,True,False,
Bicol Mail,www.bicolmail.net,https://www.bicolmail.net/,https://www.bicolmail.net/,1,False,True,False,
Bicol Peryodiko,bicolperyodiko.com,https://bicolperyodiko.com/,https://bicolperyodiko.com/,1,False,True,False,
Bilyonaryo,bilyonaryo.com,https://bilyonaryo.com/,https://bilyonaryo.com/,1,False,True,False,
Bomba Dyaryo,www.bombadyaryo.com,https://www.bombadyaryo.com/,https://www.bombadyaryo.com/,1,False,True,False,
Bombo Radyo,www.bomboradyo.com,https://www.bomboradyo.com/,https://www.bomboradyo.com/,1,False,True,False,
Bombo Radyo,cebu.bomboradyo.com,https://cebu.bomboradyo.com/,https://cebu.bomboradyo.com/,1,False,True,False,
Bombo Radyo La Union,launion.bomboradyo.com,https://launion.bomboradyo.com/,https://launion.bomboradyo.com/,1,False,True,False,
Bombo Radyo Laoag,laoag.bomboradyo.com,https://laoag.bomboradyo.com/,https://laoag.bomboradyo.com/,1,False,True,False,
Bombo Radyo Vigan,vigan.bomboradyo.com,https://vigan.bomboradyo.com/,https://vigan.bomboradyo.com/,1,False,True,False,
Bulatlat,www.bulatlat.com,https://www.bulatlat.com/,https://www.bulatlat.com/,1,False,True,False,
Business Week Mindanao,businessweekmindanao.com,https://businessweekmindanao.com/,https://businessweekmindanao.com/,1,False,True,False,
Catanduanes Tribune,catanduanestribune.net,https://catanduanestribune.net/,https://catanduanestribune.net/,1,False,True,False,
Chinoy TV,www.chinoy.tv,https://www.chinoy.tv/,https://www.chinoy.tv/,1,False,True,False,
DWIZ-AM,www.dwiz882am.com,https://www.dwiz882am.com/,https://www.dwiz882am.com/,1,False,True,False,
Davao Today,davaotoday.com,https://davaotoday.com/,https://davaotoday.com/,1,False,True,False,
Eastern Visayas Mail,evmailnews.net,https://evmailnews.net/,https://evmailnews.net/,1,False,True,False,
Hataw,hatawtabloid.com,https://hatawtabloid.com/,https://hatawtabloid.com/,1,False,True,False,
